Order ID,Customer Name,Region,Category,Quantity,Sales,Profit,Payment Method,Order Date
ORD00001,Ananya Sharma,East,Furniture,4,7407.13,560.16,Cash,2024-03-30
ORD00002,Varun Singh,North,Electronics,2,11322.58,1996.61,UPI,2025-07-28
ORD00003,Karthik Verma,Central,Clothing,4,22735.85,2718.02,UPI,2024-06-12
ORD00004,Divya Kumar,East,Furniture,4,47882.05,6423.31,UPI,2025-01-24
ORD00005,Ananya Kumar,East,Groceries,5,40452.85,9402.58,Cash,2024-05-07
ORD00006,Suresh Patel,Central,Office Supplies,10,44329.86,6224.3,Credit Card,2025-12-22
ORD00007,Arjun Sharma,South,Office Supplies,2,42838.23,11421.57,Net Banking,2024-10-11
ORD00008,Manoj Joshi,East,Furniture,6,18085.9,3934.48,UPI,2025-09-15
ORD00009,Sneha Menon,South,Furniture,8,19283.04,5734.41,Cash,2024-08-12
ORD00010,Amit Yadav,North,Furniture,1,40349.77,6064.22,UPI,2024-08-04
ORD00011,Varun Kapoor,East,Furniture,8,20083.78,5596.08,Net Banking,2024-05-26
ORD00012,Rohan Nair,South,Groceries,9,13505.71,2649.1,Cash,2025-02-12
ORD00013,Neha Reddy,South,Groceries,8,5000.02,308.9,UPI,2024-06-05
ORD00014,Sneha Jain,West,Groceries,2,19545.98,3889.1,Net Banking,2025-06-25
ORD00015,Rohan Menon,North,Electronics,9,37668.45,9121.4,Debit Card,2024-04-24
ORD00016,Pooja Singh,South,Clothing,1,47713.89,12833.28,Debit Card,2025-05-27
ORD00017,Sneha Menon,North,Office Supplies,9,30644.03,2703.1,Credit Card,2025-07-06
ORD00018,Ajay Kapoor,North,Groceries,6,24685.98,1924.69,Debit Card,2024-11-10
ORD00019,Meera Sharma,South,Groceries,2,4739.85,812.87,UPI,2025-06-29
ORD00020,Vikram Nair,West,Groceries,3,13620.3,3651.71,Net Banking,2024-08-04
ORD00021,Nisha Jain,South,Office Supplies,7,49759.89,10572.46,Net Banking,2025-06-13
ORD00022,Manoj Patel,South,Furniture,2,17235.24,3396.67,Credit Card,2025-08-25
ORD00023,Meera Sharma,North,Electronics,4,3836.32,221.94,Debit Card,2024-03-13
ORD00024,Ajay Reddy,East,Clothing,4,27192.08,6276.97,Cash,2025-08-13
ORD00025,Kavya Reddy,West,Clothing,4,5169.13,1110.05,Debit Card,2025-03-09
ORD00026,Divya Iyer,North,Electronics,1,20429.75,2754.45,UPI,2024-09-11
ORD00027,Karthik Reddy,Central,Clothing,3,21383.14,2558.2,Credit Card,2024-03-18
ORD00028,Manoj Jain,Central,Electronics,1,32781.17,6069.33,UPI,2024-04-05
ORD00029,Meera Nair,West,Clothing,8,11080.49,1664.96,UPI,2024-06-17
ORD00030,Suresh Sharma,West,Office Supplies,8,14619.84,3277.01,Cash,2025-11-08
ORD00031,Kavya Nair,South,Office Supplies,4,48451.11,9438.04,Cash,2024-03-03
ORD00032,Amit Sharma,North,Groceries,8,25391.09,6682.43,Credit Card,2024-02-28
ORD00033,Ajay Patel,South,Electronics,10,3864.06,1025.73,Net Banking,2024-05-02
ORD00034,Varun Reddy,Central,Groceries,1,31159.38,4823.67,Cash,2025-08-01
ORD00035,Ajay Kumar,East,Furniture,6,12314.95,1834.27,Debit Card,2025-04-13
ORD00036,Amit Kapoor,North,Electronics,8,31247.38,5960.39,UPI,2024-03-16
ORD00037,Nisha Reddy,Central,Office Supplies,3,46696.34,12618.1,Credit Card,2025-01-13
ORD00038,Pooja Nair,West,Groceries,5,30778.05,9135.18,Cash,2024-01-09
ORD00039,Nisha Gupta,North,Furniture,5,6213.72,476.96,Cash,2024-06-08
ORD00040,Rohan Gupta,Central,Furniture,6,10578.07,2206.16,Debit Card,2025-06-01
ORD00041,Kavya Gupta,North,Electronics,7,41552.73,2535.62,Debit Card,2024-05-13
ORD00042,Rohan Nair,West,Groceries,7,28264.89,2203.77,Credit Card,2025-07-12
ORD00043,Priya Yadav,East,Groceries,9,7830.64,641.03,Debit Card,2025-01-08
ORD00044,Priya Kapoor,East,Furniture,4,33513.2,4638.89,Cash,2025-02-20
ORD00045,Asha Verma,South,Furniture,3,48822.2,12337.02,Net Banking,2024-01-26
ORD00046,Sneha Verma,East,Clothing,4,13706.88,3383.46,UPI,2025-01-26
ORD00047,Priya Yadav,West,Furniture,4,40921.04,6755.07,Debit Card,2024-08-21
ORD00048,Meera Sharma,South,Clothing,6,14290.85,962.56,Debit Card,2024-12-25
ORD00049,Ajay Singh,Central,Office Supplies,1,6209.42,1816.88,Credit Card,2025-08-17
ORD00050,Rohan Sharma,North,Groceries,7,17611.51,4343.12,Net Banking,2025-09-12
ORD00051,Ajay Patel,West,Groceries,4,13108.76,2978.26,UPI,2025-06-16
ORD00052,Nisha Joshi,South,Office Supplies,7,3963.7,856.39,Debit Card,2025-09-30
ORD00053,Amit Joshi,North,Office Supplies,9,15809.59,2404.61,Net Banking,2025-12-14
ORD00054,Pooja Menon,South,Furniture,7,33414.01,4837.89,Credit Card,2025-09-22
ORD00055,Varun Gupta,West,Groceries,1,15541.81,1593.75,Cash,2025-09-13
ORD00056,Amit Iyer,West,Clothing,4,25803.11,6410.37,Credit Card,2025-11-05
ORD00057,Arjun Gupta,Central,Groceries,6,5122.67,1475.33,Credit Card,2025-11-19
ORD00058,Pooja Reddy,South,Furniture,1,2787.58,825.08,Cash,2024-03-15
ORD00059,Manoj Singh,Central,Furniture,7,24971.67,2771.76,UPI,2024-04-19
ORD00060,Divya Reddy,South,Groceries,8,2985.81,335.31,UPI,2025-04-12
ORD00061,Vikram Jain,West,Groceries,9,29974.89,8618.08,Net Banking,2025-09-19
ORD00062,Ajay Singh,Central,Clothing,3,37310.94,6293.18,Debit Card,2024-09-10
ORD00063,Rohan Jain,Central,Clothing,4,14092.57,977.61,Debit Card,2024-08-28
ORD00064,Rohan Kumar,East,Groceries,2,7349.52,792.39,Credit Card,2025-12-24
ORD00065,Karthik Patel,West,Clothing,6,27359.25,4211.78,Credit Card,2025-03-06
ORD00066,Suresh Kapoor,Central,Electronics,10,19328.86,994.93,Debit Card,2024-11-01
ORD00067,Suresh Yadav,West,Groceries,9,40093.47,11003.77,Net Banking,2024-08-12
ORD00068,Rohan Singh,West,Electronics,7,17138.41,3766.77,Net Banking,2024-06-18
ORD00069,Manoj Kapoor,South,Groceries,9,1834.84,272.48,Cash,2025-11-09
ORD00070,Rahul Patel,West,Furniture,8,9495.59,1092.36,Debit Card,2024-08-04
ORD00071,Manoj Kumar,East,Clothing,5,37724.49,9732.2,Debit Card,2024-03-24
ORD00072,Kavya Sharma,Central,Electronics,6,11599.0,778.93,UPI,2024-02-01
ORD00073,Meera Reddy,North,Groceries,3,12307.97,2072.54,UPI,2025-07-31
ORD00074,Karthik Iyer,East,Office Supplies,3,30491.69,8871.06,UPI,2024-06-16
ORD00075,Pooja Patel,Central,Electronics,5,29001.94,8033.73,Net Banking,2025-02-10
ORD00076,Karthik Patel,Central,Furniture,2,35011.05,4390.23,Cash,2024-05-03
ORD00077,Varun Jain,North,Office Supplies,9,21704.71,3096.02,Cash,2025-10-25
ORD00078,Amit Sharma,West,Clothing,2,21959.41,3086.33,Net Banking,2025-12-25
ORD00079,Vikram Singh,South,Groceries,5,30987.66,8673.58,Net Banking,2025-04-21
ORD00080,Divya Yadav,Central,Office Supplies,6,42659.8,10992.69,UPI,2024-10-12
ORD00081,Manoj Reddy,West,Groceries,10,33575.33,4502.42,Net Banking,2024-11-28
ORD00082,Sneha Iyer,South,Office Supplies,5,17346.77,4685.02,Debit Card,2025-07-23
ORD00083,Rahul Menon,South,Electronics,4,36143.7,6221.94,Credit Card,2025-12-08
ORD00084,Kavya Joshi,West,Clothing,1,5106.14,538.18,Credit Card,2024-11-09
ORD00085,Varun Kumar,West,Groceries,9,17515.99,5240.05,Cash,2024-12-04
ORD00086,Neha Verma,West,Office Supplies,5,12944.48,1037.68,Credit Card,2024-11-19
ORD00087,Ananya Verma,Central,Furniture,4,11211.04,1917.64,Cash,2025-06-21
ORD00088,Asha Gupta,North,Furniture,5,11760.42,1115.6,UPI,2025-12-26
ORD00089,Nisha Nair,East,Electronics,1,27891.27,6257.53,Credit Card,2025-10-15
ORD00090,Kavya Patel,North,Groceries,5,23735.15,3800.41,Credit Card,2024-02-22
ORD00091,Rohan Yadav,West,Electronics,2,20335.02,1393.37,UPI,2024-06-04
ORD00092,Vikram Jain,Central,Office Supplies,2,49698.95,3956.68,Net Banking,2025-09-12
ORD00093,Asha Jain,Central,Furniture,9,19328.71,5356.49,Debit Card,2025-08-25
ORD00094,Divya Gupta,Central,Groceries,1,30676.73,7209.72,Credit Card,2025-10-02
ORD00095,Karthik Gupta,North,Furniture,4,9103.77,626.03,UPI,2025-02-22
ORD00096,Manoj Verma,Central,Clothing,5,2115.67,258.17,Debit Card,2025-12-20
ORD00097,Manoj Patel,South,Office Supplies,10,33228.56,9417.54,Net Banking,2024-04-27
ORD00098,Nisha Reddy,South,Office Supplies,3,4034.79,369.11,Debit Card,2025-09-01
ORD00099,Varun Kapoor,East,Clothing,2,23700.55,2986.81,Net Banking,2024-10-05
ORD00100,Ajay Menon,West,Clothing,2,30102.81,8198.67,Debit Card,2025-09-10
ORD00101,Rohan Sharma,North,Furniture,10,29562.59,1631.45,Debit Card,2025-08-13
ORD00102,Priya Jain,South,Clothing,9,32749.72,9137.77,Credit Card,2025-08-22
ORD00103,Divya Joshi,West,Electronics,8,17724.07,2363.1,UPI,2024-06-13
ORD00104,Amit Singh,West,Office Supplies,7,40771.52,7645.64,Net Banking,2024-03-31
ORD00105,Amit Gupta,East,Electronics,7,43313.07,11098.19,UPI,2025-11-04
ORD00106,Nisha Iyer,West,Electronics,4,26162.75,5380.59,Net Banking,2025-10-02
ORD00107,Manoj Jain,North,Furniture,5,27686.37,7805.29,Net Banking,2025-12-16
ORD00108,Kavya Patel,North,Groceries,4,35634.25,4550.05,UPI,2025-07-19
ORD00109,Divya Patel,South,Electronics,8,47379.51,10041.02,Credit Card,2025-05-25
ORD00110,Pooja Menon,East,Clothing,8,49022.11,5438.16,Cash,2024-05-28
ORD00111,Suresh Reddy,Central,Groceries,3,43269.33,5151.73,Net Banking,2024-12-14
ORD00112,Ajay Gupta,North,Office Supplies,5,41955.06,8180.43,Net Banking,2024-06-01
ORD00113,Manoj Menon,West,Office Supplies,6,27819.91,5170.54,Net Banking,2024-11-25
ORD00114,Karthik Verma,South,Groceries,7,12061.34,2941.59,UPI,2024-11-21
ORD00115,Kavya Verma,West,Clothing,3,25018.77,1482.48,Cash,2025-08-27
ORD00116,Amit Yadav,North,Clothing,2,26534.58,4357.83,Credit Card,2025-02-23
ORD00117,Vikram Patel,West,Office Supplies,6,31351.34,4682.98,UPI,2024-12-02
ORD00118,Nisha Singh,East,Clothing,9,2277.01,152.8,Debit Card,2024-08-20
ORD00119,Arjun Singh,North,Electronics,8,8735.06,1090.72,UPI,2024-02-17
ORD00120,Amit Jain,North,Office Supplies,6,19054.63,1646.18,Cash,2025-02-25
ORD00121,Varun Joshi,South,Furniture,3,4408.93,1180.31,Cash,2025-11-30
ORD00122,Meera Iyer,Central,Furniture,4,23326.92,2647.47,Debit Card,2025-11-13
ORD00123,Rahul Kapoor,West,Office Supplies,9,8319.79,1334.76,Debit Card,2025-08-24
ORD00124,Pooja Joshi,West,Office Supplies,8,42342.54,4225.97,Net Banking,2025-05-09
ORD00125,Ananya Reddy,West,Groceries,6,28953.19,8633.06,Debit Card,2024-01-23
ORD00126,Suresh Gupta,North,Groceries,1,45575.54,10769.18,Debit Card,2024-08-23
ORD00127,Asha Jain,East,Furniture,4,31234.11,6854.05,Credit Card,2025-10-05
ORD00128,Ananya Kapoor,North,Office Supplies,8,2151.54,303.83,Credit Card,2024-04-02
ORD00129,Pooja Kumar,West,Furniture,4,7041.91,1301.71,Debit Card,2025-06-27
ORD00130,Ajay Kapoor,East,Furniture,5,45745.42,13085.34,Debit Card,2024-12-12
ORD00131,Ananya Iyer,North,Furniture,4,43076.96,9953.11,Net Banking,2025-07-24
ORD00132,Neha Patel,West,Electronics,5,27060.33,4429.68,Debit Card,2025-08-21
ORD00133,Suresh Yadav,East,Electronics,4,23838.1,4884.11,Cash,2024-12-01
ORD00134,Asha Reddy,North,Clothing,5,32637.35,2583.87,UPI,2024-02-08
ORD00135,Pooja Iyer,North,Electronics,4,44419.34,3727.49,Net Banking,2025-01-14
ORD00136,Nisha Singh,Central,Furniture,7,32918.63,8506.94,Cash,2025-02-21
ORD00137,Rohan Sharma,East,Furniture,8,22512.45,2454.49,Debit Card,2024-04-11
ORD00138,Neha Menon,East,Electronics,7,14156.13,4134.32,Net Banking,2024-04-03
ORD00139,Karthik Joshi,Central,Electronics,1,39446.33,4374.29,Credit Card,2025-08-01
ORD00140,Karthik Patel,Central,Furniture,10,11189.59,2992.36,Debit Card,2024-05-31
ORD00141,Asha Sharma,East,Furniture,3,27240.67,6800.05,UPI,2025-11-07
ORD00142,Rahul Nair,North,Office Supplies,4,29648.22,1599.38,Debit Card,2024-02-23
ORD00143,Vikram Verma,West,Groceries,2,37410.43,6324.66,Debit Card,2025-06-09
ORD00144,Varun Patel,West,Groceries,4,47298.07,2877.67,Cash,2024-11-04
ORD00145,Manoj Joshi,North,Electronics,8,42441.28,6644.96,UPI,2025-05-17
ORD00146,Manoj Patel,North,Office Supplies,10,7842.52,639.54,Cash,2025-10-10
ORD00147,Varun Menon,East,Clothing,10,26762.56,4373.77,Cash,2025-03-16
ORD00148,Ananya Jain,North,Groceries,4,21788.46,5926.96,Net Banking,2024-12-13
ORD00149,Manoj Singh,West,Electronics,6,21624.82,4676.95,Debit Card,2024-06-05
ORD00150,Kavya Patel,North,Electronics,2,21877.89,5166.4,Debit Card,2024-05-13
ORD00151,Nisha Sharma,Central,Groceries,9,16817.48,1354.78,Debit Card,2025-11-12
ORD00152,Divya Yadav,North,Office Supplies,10,15966.22,1211.84,Cash,2024-08-05
ORD00153,Vikram Joshi,West,Furniture,2,17830.64,3371.17,UPI,2024-10-12
ORD00154,Varun Reddy,West,Groceries,10,30871.88,6503.93,UPI,2025-09-15
ORD00155,Rohan Sharma,South,Office Supplies,5,46116.11,6352.76,Credit Card,2024-05-26
